"Geneid","NT_shRNA_hepg2_rep1","NT_shRNA_hepg2_rep2","TARDBP_shRNA_hepg2_rep1","TARDBP_shRNA_hepg2_rep2"
"ENSG00000142920.16_2",30,38,34,47
"ENSG00000116525.13_2",127,130,99,97
"ENSG00000279179.1_5",1,4,1,6
"ENSG00000160094.14_4",566,591,740,685
"ENSG00000270115.1_6",7,9,14,9
"ENSG00000134686.18_4",1141,1402,1018,875
"ENSG00000222112.1",7,8,7,10
"ENSG00000233246.1_5",5,3,2,3
"ENSG00000121903.14_2",124,96,77,50
"ENSG00000163866.8_3",554,715,490,410
"ENSG00000284773.1_2",7,11,19,21
"ENSG00000241014.2_6",8,3,7,3
"ENSG00000163867.16_3",216,185,161,158
"ENSG00000197056.10_3",413,422,225,173
"ENSG00000116560.10_2",12349,13802,7044,6559
"ENSG00000146463.11_3",2048,2288,1890,1640
"ENSG00000229994.1_4",351,364,218,223
"ENSG00000142687.17_3",1839,2015,3538,3194
"ENSG00000020129.15_3",352,360,348,370
"ENSG00000116819.7_3",17,15,33,34
"ENSG00000126067.11_2",2955,3290,1678,1611
"ENSG00000142686.7_2",28,42,13,8
"ENSG00000092853.13_3",1222,1445,228,213
"ENSG00000134698.10_2",437,552,678,639
"ENSG00000092847.11_3",1787,1973,1262,1218
"ENSG00000126070.19_2",691,753,552,495
"ENSG00000092850.11_2",6,4,3,2
"ENSG00000116863.10_2",223,329,200,189
"ENSG00000171812.12_4",4,6,3,6
"ENSG00000054116.11_2",440,498,479,394
"ENSG00000116871.15_5",926,989,636,669
"ENSG00000054118.14_5",5979,6875,3857,3448
"ENSG00000214193.10_6",427,570,265,266
"ENSG00000142694.6_2",8,19,21,8
"ENSG00000116883.8_6",43,59,38,33
"ENSG00000196182.10_3",1396,1739,2231,2080
"ENSG00000181817.5_2",311,402,283,246
"ENSG00000116885.18_3",15,16,22,15
"ENSG00000116898.11_2",990,1215,810,801
"ENSG00000119535.17_5",327,489,1297,1310
"ENSG00000233621.1_5",9,15,10,13
"ENSG00000163874.10_3",228,284,308,280
"ENSG00000163875.15_3",1121,1106,1004,986
"ENSG00000263675.1",10,5,3,6
"ENSG00000163877.10_2",341,368,355,310
"ENSG00000237749.4_5",10,14,12,19
"ENSG00000163879.10_2",32,32,42,42
"ENSG00000134697.12_5",1344,1557,901,810
"ENSG00000169218.13_2",8,6,3,0
"ENSG00000116922.14_4",372,463,286,237
"ENSG00000134690.10_2",984,1221,195,225
"ENSG00000183317.16_4",13,14,18,18
"ENSG00000185090.14_3",586,743,654,554
"ENSG00000196449.3_2",175,172,161,121
"ENSG00000197982.13_4",77,124,123,96
"ENSG00000188786.9_2",470,514,410,373
"ENSG00000204084.12_3",253,305,336,337
"ENSG00000183431.11_2",2733,3008,1676,1447
"ENSG00000183386.9_2",249,316,269,288
"ENSG00000183520.11_3",608,736,471,397
"ENSG00000224592.5_5",1,4,5,1
"ENSG00000215895.4_5",101,102,49,62
"ENSG00000116954.7_2",91,94,149,117
"ENSG00000228436.2_5",12,22,18,19
"ENSG00000214114.8_3",241,237,169,176
"ENSG00000158315.10_2",60,109,107,109
"ENSG00000174574.15_3",3285,3897,3186,2919
"ENSG00000168653.10_2",1659,1850,1277,1080
"ENSG00000127603.25_5",7206,7632,5192,4780
"ENSG00000243970.3_4",20,23,18,19
"ENSG00000090621.13_4",4112,4755,3271,2859
"ENSG00000201457.1",16,12,12,4
"ENSG00000163909.7_2",6,3,2,2
"ENSG00000084072.16_3",122,139,117,96
"ENSG00000116985.11_3",15,29,22,14
"ENSG00000198754.5_3",9,5,2,4
"ENSG00000043514.16_3",252,303,232,192
"ENSG00000116990.10_3",29,49,45,54
"ENSG00000168389.17_3",3,6,0,0
"ENSG00000228477.1_5",11,11,15,20
"ENSG00000131236.16_3",5556,5849,3115,3075
"ENSG00000131238.17_4",2647,3301,2619,2379
"ENSG00000117000.8_2",857,996,633,612
"ENSG00000259943.1_5",56,77,58,27
"ENSG00000084073.8_2",1831,1836,302,242
"ENSG00000049089.14_5",1802,2162,1170,1045
"ENSG00000084070.11_4",1059,1366,1039,1001
"ENSG00000187801.14_2",210,248,210,172
"ENSG00000260920.2_5",112,123,157,174
"ENSG00000187815.9_2",140,167,107,86
"ENSG00000238287.1_5",55,42,49,53
"ENSG00000164002.11_5",259,294,205,176
"ENSG00000117010.16_3",182,225,136,146
"ENSG00000117016.9_2",143,162,146,131
"ENSG00000272145.1_5",51,54,41,43
"ENSG00000066136.20_3",1033,1094,888,959
"ENSG00000179862.6_2",158,183,203,223
"ENSG00000171793.14_3",1255,1500,700,575
"ENSG00000281207.1_4",15,18,15,15
"ENSG00000171790.15_3",3,7,11,4
